"","NR","WR","SR","ER","NER","All India"
"Thermal (Coal & Lignite)","537","1102","329","397","8","2372"
"Hydro","343","22","154","99","22","639"
"Nuclear","27","27","24","0","0","79"
"Gas, Naptha & Diesel","13","36","23","0","27","98"
"RES (Wind, Solar, Biomass & Others)","39","106","282","1","0","427"
"Total","959","1292","812","496","56","3616"
