"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","4855","0","90.1","40.7","0.7","270"
"","Haryana","6196","0","115.8","43.8","-0.7","266"
"","Rajasthan","9840","0","200.5","67.8","3.7","280"
"","Delhi","3758","0","67.6","46.4","-0.5","252"
"","UP","9946","3450","228.1","89.3","2.1","315"
"","Uttarakhand","1893","75","35.9","26.5","2.6","290"
"","HP","1395","0","26.6","22.5","0.6","109"
"","J&K","2010","355","39.3","36.0","-1.1","118"
"","Chandigarh","222","0","4.0","3.8","0.3","40"
"WR","Chhattisgarh","3114","0","71.2","24.6","0.6","186"
"","Gujarat","11481","0","249.7","36.0","-0.3","549"
"","MP","7599","0","148.4","81.5","-1.5","383"
"","Maharashtra","17007","894","367.8","110.7","5.6","677"
"","Goa","372","0","8.2","6.9","0.6","99"
"","DD","263","0","5.9","6.0","0.0","23"
"","DNH","670","0","15.3","15.0","0.0","75"
"","Essar steel","313","0","6.5","6.5","0.0","133"
"SR","Andhra Pradesh","6342","0","139.4","24.0","1.5","401"
"","Telangana","6424","200","132.0","74.5","3.7","330"
"","Karnataka","8823","310","189.8","31.6","3.0","421"
"","Kerala","3275","0","61.7","44.2","2.2","228"
"","Tamil Nadu","11808","684","261.6","108.0","1.7","371"
"","Pondy","305","0","5.7","5.8","-0.1","29"
"ER","Bihar","2679","100","51.1","52.8","-4.2","0"
"","DVC","2344","0","55.1","-12.7","1.3","200"
"","Jharkhand","952","0","20.9","10.6","-1.6","0"
"","Odisha","3411","0","64.6","19.3","2.0","380"
"","West Bengal","6108","0","107.9","16.6","0.2","90"
"","Sikkim","102","0","1.8","1.2","0.6","25"
"NER","Arunachal Pradesh","105","7","1.7","1.4","0.4","35"
"","Assam","1186","74","20.9","13.6","1.7","151"
"","Manipur","140","2","2.0","2.3","-0.3","51"
"","Meghalaya","333","0","5.8","5.1","-0.4","57"
"","Mizoram","84","2","1.2","1.0","0.2","31"
"","Nagaland","112","7","2.1","1.6","0.5","37"
"","Tripura","190","13","2.6","0.5","0.0","35"
