"","NR","WR","SR","ER","NER"
"Schedule(MU)","121.0","-122.4","48.3","-58.7","8.5"
"Actual(MU)","120.2","-117.2","51.9","-69.9","10.5"
"O/D/U/D(MU)","-0.8","5.2","3.6","-11.2","2.0"
