"","NR","WR","SR","ER","NER"
"Schedule(MU)","50.6","-60.9","46.8","-53.1","8.4"
"Actual(MU)","37.7","-58.8","47.0","-48.8","11.6"
"O/D/U/D(MU)","-12.9","2.1","0.2","4.3","3.2"
