"Share of RES in total generation (%)","13.19","7.41","18.10","1.04","0.10","10.21"
"Share of Non-fossil fuel (Hydro,Nuclear and RES) in total generation(%)","41.85","15.06","37.16","11.78","6.56","25.44"
