"","NR","WR","SR","ER","NER","All India"
"Coal","291","801","397","401","10","1901"
"Lignite","16","15","50","0","0","80"
"Hydro","139","46","89","49","3","325"
"Nuclear","24","36","52","0","0","111"
"Gas, Naptha & Diesel","23","86","19","0","27","154"
"RES (Wind, Solar, Biomass & Others)","75","79","134","5","0","293"
"Total","567","1062","742","454","40","2864"
