"","NR","WR","SR","ER","NER"
"Schedule(MU)","127.4","-106.6","42.9","-70.2","7.3"
"Actual(MU)","141.1","-116.7","41.9","-74.7","9.6"
"O/D/U/D(MU)","13.7","-10.1","-1.0","-4.5","2.3"
