"Region","<49.2","49.2-49.5","49.5-49.7","49.7-49.8","<49.7","49.7-50.2","> 50.2"
"NEW GRID","0","0","0.5","1.8","0.5","91.1","8.4"
"SR GRID","0","0.6","13.1","36.8","13.8","85.0","1.3"
