"","NR","WR","SR","ER","NER","Total"
"Demand Met during Evening Peak hrs(MW) (at 2000 hrs; from RLDCs)","46185","42960","38884","17936","2315","148280"
"Peak Shortage (MW)","871","63","0","200","142","1276"
"Energy Met (MU)","1024","1073","892","388","38","3415"
"Hydro Gen(MU)","309","39","49","81","23","500"
"Wind Gen(MU)","10","38","101","----------","----------","149"
"Solar Gen (MU)*","2.06","12.38","26.40","1.43","0.00","42"
"Energy Shortage (MU)","8.9","0.0","0.0","0.8","1.5","11.2"
"Maximum Demand Met during the day (MW) (from NLDC SCADA)","49385","48586","38854","18577","2405","150441"
