"","NR","WR","SR","ER","NER"
"Schedule(MU)","103.7","-81.5","28.6","-58.9","6.0"
"Actual(MU)","111.9","-110.2","37.7","-53.7","7.9"
"O/D/U/D(MU)","8.2","-28.7","9.1","5.2","1.9"
