"","NR","WR","SR","ER","NER","All India"
"Coal","514","1154","473","410","7","2557"
"Lignite","19","16","48","0","0","83"
"Hydro","119","22","64","26","7","239"
"Nuclear","29","19","36","0","0","85"
"Gas, Naptha & Diesel","26","41","21","0","28","117"
"RES (Wind, Solar, Biomass & Others)","62","46","136","1","0","244"
"Total","769","1298","778","437","42","3324"
