"Share of RES in total generation (%)","9.60","13.53","26.08","0.34","0.11","13.17"
"Share of Non-fossil fuel (Hydro, Nuclear and RES) in total generation (%)","46.46","17.35","38.89","21.38","48.95","31.01"
