"","NR","WR","SR","ER","NER"
"Schedule(MU)","108.8","-87.2","48.4","-68.5","1.9"
"Actual(MU)","101.4","-88.2","56.8","-71.8","2.4"
"O/D/U/D(MU)","-7.4","-1.0","8.4","-3.2","0.5"
