"","NR","WR","SR","ER","NER","TOTAL"
"Schedule(MU)","281.1","-269.0","-13.4","1.5","-0.2","0.0"
"Actual(MU)","277.4","-320.3","-0.2","39.4","-0.5","-4.2"
"O/D/U/D(MU)","-3.6","-51.3","13.2","37.9","-0.4","-4.2"
