"Region","<49.2","49.2-49.5","49.5-49.7","49.7-49.8","<49.7","49.7-50.2","> 50.2"
"NEW GRID","0.0","0.0","0.0","0.1","0.0","78.5","21.5"
"SR GRID","0.1","0.1","5.3","20.4","5.6","85.9","8.5"
