"Share of RES in total generation (%)","5.57","2.67","14.67","0.17","0.09","5.93"
"Share of Non-fossil fuel (Hydro, Nuclear and RES) in total generation (%)","27.15","6.67","30.00","9.05","19.49","17.59"
