"","NR","WR","SR","ER","NER"
"Schedule(MU)","146.7","-106.6","25.6","-83.0","5.6"
"Actual(MU)","139.8","-104.8","26.8","-69.1","6.1"
"O/D/U/D(MU)","-6.9","1.8","1.2","13.9","0.5"
