"","NR","WR","SR","ER","NER","All India"
"Coal","503","1004","397","365","8","2277"
"Lignite","16","11","50","0","0","77"
"Hydro","331","21","58","139","29","579"
"Nuclear","27","31","60","0","0","119"
"Gas, Naptha & Diesel","31","41","16","0","26","113"
"RES (Wind, Solar, Biomass & Others)","66","143","302","2","0","513"
"Total","974","1250","883","507","64","3678"
