"Region","States","Max.DemandMet during the day(MW)","Shortage duringmaximum Demand(MW)","Energy Met(MU)","DrawalSchedule(MU)","OD(+)/UD(-)(MU)","Max OD(MW)","EnergyShortage (MU)"
"NR","Punjab","3462","0","73.9","55.7","-0.8","59","0.0"
"","Haryana","4011","0","74.2","71.2","0.4","121","0.0"
"","Rajasthan","7847","0","146.2","50.3","-3.4","494","0.0"
"","Delhi","2195","0","44.3","33.8","-1.7","60","0.0"
"","UP","14270","0","236.8","111.4","0.1","614","0.0"
"","Uttarakhand","1003","0","18.4","4.9","0.7","197","0.0"
"","HP","746","0","11.9","1.1","-1.4","65","0.0"
"","J&K(UT) & Ladakh(UT)","2042","510","40.7","32.1","-0.4","242","7.5"
"","Chandigarh","130","0","2.2","2.3","-0.1","15","0.0"
"WR","Chhattisgarh","3137","0","70.5","21.6","-1.0","218","0.0"
"","Gujarat","10582","0","231.5","67.1","2.8","795","0.0"
"","MP","8611","0","164.3","94.3","-2.2","628","0.0"
"","Maharashtra","17392","0","376.5","154.5","0.5","1036","0.0"
"","Goa","323","0","6.8","7.0","-0.2","28","0.0"
"","DD","64","0","1.4","1.6","-0.2","6","0.0"
"","DNH","83","0","1.8","1.9","-0.1","33","0.0"
"","Essar steel","179","0","0.6","0.5","0.1","113","0.0"
"SR","Andhra Pradesh","8189","0","162.0","85.7","0.9","1083","0.0"
"","Telangana","9097","0","188.2","93.6","-0.1","582","0.0"
"","Karnataka","11093","0","214.5","78.6","0.7","970","0.0"
"","Kerala","3039","0","65.5","51.7","0.5","208","0.0"
"","Tamil Nadu","10737","0","245.5","181.8","1.1","602","0.0"
"","Puducherry","227","0","4.4","4.5","-0.2","31","0.0"
"ER","Bihar","4027","0","74.6","73.8","-0.5","150","0.0"
"","DVC","1476","0","29.2","-21.2","0.1","330","0.0"
"","Jharkhand","1455","0","22.7","16.2","-0.1","170","0.0"
"","Odisha","3445","0","69.1","10.8","0.9","395","0.0"
"","West Bengal","6589","0","140.1","38.1","0.9","280","0.0"
"","Sikkim","79","0","1.0","1.2","-0.2","115","0.0"
"NER","Arunachal Pradesh","110","1","1.5","1.0","0.4","26","0.0"
"","Assam","1835","30","19.1","17.2","-0.8","118","0.1"
"","Manipur","175","1","2.3","2.1","0.2","28","0.0"
"","Meghalaya","237","0","3.5","3.4","-0.2","61","0.1"
"","Mizoram","90","1","1.5","1.2","0.1","19","0.0"
"","Nagaland","116","1","2.1","2.1","-0.1","40","0.0"
"","Tripura","198","1","3.4","3.2","-0.2","65","0.0"
