"Share of RES in total generation (%)","7.26","5.36","18.29","0.40","0.07","8.08"
"Share of Non-fossil fuel (Hydro, Nuclear and RES) in total generation (%)","31.70","10.47","37.52","10.62","24.14","21.52"
