"Region","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","5857","0","111.8","62.8","-1.5","44","0.0"
"","Haryana","6522","0","128.5","85.2","0.9","180","0.0"
"","Rajasthan","13560","0","237.6","68.3","-1.9","465","0.0"
"","Delhi","4522","0","72.7","58.0","-1.0","209","0.0"
"","UP","16528","0","288.3","117.2","0.0","662","0.0"
"","Uttarakhand","2183","0","40.7","23.9","0.3","140","0.0"
"","HP","1661","0","30.3","23.6","0.2","222","0.0"
"","J&K(UT) and Ladakh(UT)","2370","592","52.5","47.2","0.0","203","12.4"
"","Chandigarh","259","0","4.4","4.2","0.2","35","0.0"
"WR","Chhattisgarh","3460","0","72.9","22.1","-1.5","261","0.0"
"","Gujarat","15957","0","327.6","85.7","5.6","414","0.0"
"","MP","13525","0","239.8","117.6","-2.5","488","0.0"
"","Maharashtra","21650","0","434.1","134.1","0.3","698","0.0"
"","Goa","496","0","13.6","10.0","3.0","42","0.0"
"","DD","329","0","7.3","6.8","0.5","45","0.0"
"","DNH","805","0","18.6","18.6","0.0","41","0.0"
"","Essar steel","351","0","5.8","6.1","-0.3","253","0.0"
"SR","Andhra Pradesh","8372","0","171.3","67.2","-0.1","300","0.0"
"","Telangana","10829","0","212.3","100.9","0.6","595","0.0"
"","Karnataka","12284","0","222.3","58.0","-1.4","582","0.0"
"","Kerala","3471","0","70.9","55.9","1.6","202","0.0"
"","Tamil Nadu","14212","0","298.1","148.0","0.4","468","0.0"
"","Pondy","358","0","7.2","7.5","-0.3","26","0.0"
"ER","Bihar","4461","0","79.9","77.2","1.1","197","0.0"
"","DVC","3110","0","64.4","-30.0","0.5","243","0.0"
"","Jharkhand","1353","0","24.6","17.0","-1.1","113","0.0"
"","Odisha","3630","0","65.2","6.8","0.1","293","0.0"
"","West Bengal","6091","0","110.0","20.4","0.6","216","0.0"
"","Sikkim","161","0","2.0","1.6","0.4","53","0.0"
"NER","Arunachal Pradesh","124","2","2.4","1.8","0.4","39","0.0"
"","Assam","1356","15","23.1","19.2","0.6","111","0.5"
"","Manipur","213","1","2.7","3.1","-0.4","31","0.0"
"","Meghalaya","390","0","6.3","3.2","0.7","75","0.2"
"","Mizoram","105","2","1.6","1.5","-0.2","27","0.0"
"","Nagaland","127","1","2.4","2.1","0.2","26","0.0"
"","Tripura","221","0","3.6","2.3","-0.3","25","0.0"
