"","NR","WR","SR","ER","NER"
"Schedule(MU)","103.8","-66.3","35.3","-77.2","6.2"
"Actual(MU)","102.8","-60.9","34.9","-81.3","4.4"
"O/D/U/D(MU)","-1.0","5.4","-0.4","-4.0","-1.8"
