"","NR","WR","SR","ER","NER"
"Schedule(MU)","87.7","-86.2","43.9","-49.8","2.9"
"Actual(MU)","99.0","-104.5","50.1","-47.8","3.4"
"O/D/U/D(MU)","11.3","-18.3","6.2","2.0","0.5"
