"Region","<49.2","49.2-49.5","49.5-49.7","49.7-49.8","<49.7","49.7-50.2","> 50.2"
"NEW GRID","0.0","0.0","1.5","7.5","1.5","91.8","6.7"
"SR GRID","0.0","0.0","0.0","1.0","0.0","95.0","5.0"
