"Share of RES in total generation (%)","6.79","3.13","14.35","0.20","0.12","6.27"
"Share of Non-fossil fuel (Hydro, Nuclear and RES) in total generation (%)","25.12","6.66","28.70","6.31","17.03","16.33"
