"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","5031","0","95.9","42.5","0.5","248"
"","Haryana","6223","0","117.5","48.2","-1.2","128"
"","Rajasthan","10134","0","204.5","69.9","4.6","456"
"","Delhi","4003","0","68.5","47.8","-1.5","149"
"","UP","9924","2735","225.4","90.1","-0.6","182"
"","Uttarakhand","1930","0","36.0","28.1","0.8","181"
"","HP","1393","0","26.2","22.6","0.1","120"
"","J&K","2016","356","43.0","37.9","0.8","152"
"","Chandigarh","231","0","4.0","4.0","0.3","48"
"WR","Chhattisgarh","3269","96","71.1","24.8","0.6","353"
"","Gujarat","11843","0","253.9","37.8","0.0","532"
"","MP","7955","0","152.1","82.8","-2.1","351"
"","Maharashtra","17556","738","366.2","110.9","-2.8","455"
"","Goa","412","0","8.1","7.4","0.1","52"
"","DD","271","0","6.0","6.1","-0.1","20"
"","DNH","659","0","15.3","15.4","-0.2","88"
"","Essar steel","440","0","8.3","8.5","-0.2","140"
"SR","Andhra Pradesh","6335","0","140.6","25.3","0.8","566"
"","Telangana","6342","300","133.4","73.9","4.1","409"
"","Karnataka","9165","200","189.4","32.4","2.6","374"
"","Kerala","3290","125","62.3","44.5","1.9","203"
"","Tamil Nadu","12030","705","263.3","108.3","2.1","393"
"","Pondy","312","0","6.1","6.1","0.0","23"
"ER","Bihar","2655","200","53.4","53.0","-3.9","230"
"","DVC","2421","0","54.9","-17.4","0.5","190"
"","Jharkhand","1082","0","21.4","11.2","-0.5","80"
"","Odisha","3537","0","63.2","17.6","2.8","300"
"","West Bengal","6160","0","107.9","17.6","1.9","290"
"","Sikkim","130","0","1.9","1.2","0.7","40"
"NER","Arunachal Pradesh","103","5","1.6","1.4","0.2","32"
"","Assam","1168","106","19.7","13.7","1.1","157"
"","Manipur","135","3","2.1","2.3","-0.2","42"
"","Meghalaya","335","2","5.5","5.2","-0.6","21"
"","Mizoram","81","2","1.2","1.0","0.2","24"
"","Nagaland","116","3","2.3","1.6","0.7","32"
"","Tripura","202","8","2.7","0.5","0.0","45"
