"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","4779","0","95.8","59.3","1.0","189"
"","Haryana","5130","0","106.0","53.6","0.5","307"
"","Rajasthan","7251","0","153.7","79.3","-5.0","186"
"","Delhi","3149","2","61.0","43.6","-0.7","88"
"","UP","9394","980","203.6","74.0","-4.2","311"
"","Uttarakhand","1407","75","28.0","17.1","0.6","131"
"","HP","1118","0","22.1","11.3","1.9","187"
"","J&K","1630","100","31.4","21.8","1.2","239"
"","Chandigarh","171","0","3.1","3.4","-0.2","3"
"WR","Chhattisgarh","2567","9","56.3","20.2","-4.0","237"
"","Gujarat","10738","40","241.8","41.1","1.0","538"
"","MP","7238","0","153.3","98.8","-4.4","232"
"","Maharashtra","15555","537","341.4","110.0","8.9","1042"
"","Goa","331","0","7.5","7.3","-0.6","29"
"","DD","253","0","5.9","6.1","-0.2","32"
"","DNH","653","0","15.2","15.1","0.1","37"
"","Essar steel","256","0","5.2","4.9","0.3","51"
"SR","Andhra Pradesh","9492","0","192.1","51.6","-2.4","416"
"","Karnataka","6019","300","121.4","19.0","1.4","428"
"","Kerala","2937","150","53.0","26.8","1.9","278"
"","Tamil Nadu","10523","623","236.2","69.7","2.6","415"
"","Pondy","265","0","5.6","5.8","-0.2","27"
"ER","Bihar","2168","0","41.6","40.4","1.2","165"
"","DVC","2413","0","53.5","-19.5","1.6","395"
"","Jharkhand","919","0","20.1","13.2","-1.5","85"
"","Odisha","3164","0","59.5","5.7","-4.1","100"
"","West Bengal","5564","0","99.2","17.5","-0.9","310"
"","Sikkim","90","0","1.6","1.3","0.3","25"
"NER","Arunachal Pradesh","109","1","1.3","0.9","0.4","61"
"","Assam","1105","43","20.2","11.3","3.4","166"
"","Manipur","104","4","1.3","1.5","-0.2","44"
"","Meghalaya","253","13","4.7","2.1","0.5","79"
"","Mizoram","60","2","1.1","0.8","0.1","33"
"","Nagaland","97","2","1.3","0.9","0.1","26"
"","Tripura","172","34","3.2","0.4","0.2","39"
