"","NR","WR","SR","ER","NER","TOTAL"
"Schedule(MU)","160.1","-142.8","61.4","-72.5","-9.7","-3.4"
"Actual(MU)","163.1","-155.6","68.5","-63.1","-12.4","0.4"
"O/D/U/D(MU)","3.0","-12.9","7.1","9.3","-2.7","3.9"
