"","NR","WR","SR","ER","NER","Total"
"Demand Met during Evening Peak hrs(MW)","43903","41086","32712","17437","2146","137284"
"Peak Shortage (MW)","2756","197","1500","200","283","4936"
"Energy Met (MU)","1033","947","769","360","37","3146"
"Hydro Gen(MU)","368","92","91","80","27","658"
"Wind Gen(MU)","27","74","54","----------","----------","155"
