"Region","<49.2","<49.7","49.7-49.8","49.8-49.9","<49.9","49.9-50.05","> 50.05"
"NEW GRID","0.00","0.17","7.04","37.93","45.14","50.22","4.64"
"SR GRID","0.00","0.17","7.04","37.93","45.14","50.22","4.64"
