"","NR","WR","SR","ER","NER"
"Schedule(MU)","101.4","-77.2","39.9","-59.4","-1.4"
"Actual(MU)","84.9","-70.8","40.9","-50.1","-3.0"
"O/D/U/D(MU)","-16.5","6.4","1.0","9.3","-1.6"
