"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","5256.0","0.0","99.2","46.9","1.8","254"
"","Haryana","5344.9","0.0","96.9","52.1","-1.9","260"
"","Rajasthan","8925.0","0.0","191.5","86.1","9.5","744"
"","Delhi","3027.0","2.0","53.8","34.4","-0.9","121"
"","UP","8990.5","3205.0","211.7","90.7","2.7","573"
"","Uttarakhand","1588.0","0.0","30.2","23.8","-1.1","28"
"","HP","1214.0","0.0","23.2","16.7","0.7","172"
"","J&K","1889.5","0.0","34.3","28.5","4.0","307"
"","Chandigarh","165.0","0.0","3.0","3.0","0.1","17"
"WR","Chhattisgarh","2960","18","62.3","12.1","-0.6","233"
"","Gujarat","11909","0","271.3","60.4","-3.3","572"
"","MP","9517","0","202.2","124.0","-2.3","265"
"","Maharashtra","17314","65","375.0","97.9","-2.1","539"
"","Goa","367","0","6.8","6.3","0.2","66"
"","DD","268","0","6.1","6.3","-0.2","7"
"","DNH","637","0","14.5","15.0","-0.5","19"
"","Essar steel","392","0","8.0","9.2","-1.2","24"
"SR","Andhra Pradesh","5581","300","129.4","29.8","5.6","566"
"","Telangana","5229","200","118.7","65.3","4.2","286"
"","Karnataka","7428","450","155.4","20.0","2.1","285"
"","Kerala","2917","125","54.7","34.2","2.6","302"
"","Tamil Nadu","10165","719","216.8","68.2","2.8","356"
"","Pondy","260","0","5.4","5.4","0.0","22"
"ER","Bihar","2588","0","48.7","51.2","-4.9","95"
"","DVC","2420","0","53.7","-13.7","0.9","255"
"","Jharkhand","1042","0","21.8","10.2","-0.6","75"
"","Odisha","3467","0","64.1","20.6","2.9","335"
"","West Bengal","6028","0","100.2","10.2","1.7","295"
"","Sikkim","85","0","1.7","1.3","0.3","40"
"NER","Arunachal Pradesh","105","1","1.8","1.5","0.3","41"
"","Assam","1152","64","20.4","13.3","2.1","230"
"","Manipur","126","2","2.3","2.2","0.1","32"
"","Meghalaya","291","1","4.8","3.9","-0.6","49"
"","Mizoram","65","1","1.2","1.0","0.1","23"
"","Nagaland","107","1","1.9","1.2","0.2","35"
"","Tripura","190","0","2.3","0.2","-0.1","75"
