"Region","<49.2","<49.7","49.7-49.8","49.8-49.9","<49.9","49.9-50.05","> 50.05"
"NEW GRID","0.00","4.66","16.85","21.03","42.55","44.26","13.19"
"SR GRID","0.00","4.66","16.85","21.03","42.55","44.26","B. Frequency Profile (%)13.19"
