"","NR","WR","SR","ER","NER"
"Schedule(MU)","101.0","-58.7","40.4","-79.7","7.0"
"Actual(MU)","86.8","-51.2","40.2","-74.3","-0.4"
"O/D/U/D(MU)","-14.2","7.5","-0.2","5.4","-7.4"
