"","NR","WR","SR","ER","NER"
"Schedule(MU)","131.7","-101.2","48.8","-82.8","1.9"
"Actual(MU)","85.1","-82.6","47.8","-56.1","2.5"
"O/D/U/D(MU)","-46.6","18.6","-1.0","26.6","0.6"
