"","NR","WR","SR","ER","NER","Total"
"Demand Met during Evening Peak hrs(MW) (at 2000 hrs; from RLDCs)","47522","48908","39071","20910","2432","158843"
"Peak Shortage (MW)","528","144","0","0","160","832"
"Energy Met (MU)","1131","1177","906","423","43","3680"
"Hydro Gen (MU)","174","48","56","62","16","357"
"Wind Gen (MU)","11","79","61","----------","----------","151"
"Solar Gen (MU)*","14.98","20.39","55.50","0.84","0.01","92"
"Energy Shortage (MU)","26.3","0.0","0.0","0.0","1.1","27.4"
"Maximum Demand Met during the day (MW) & time (from NLDC SCADA)","52386","52331","41015","21520","2374","162456"
"","00:00","15:28","15:30","21:48","18:48","22:55"
