"Region","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","10967","0","242.9","138.0","-1.3","29","0.0"
"","Haryana","9845","0","215.7","165.6","0.2","248","0.0"
"","Rajasthan","9651","0","212.6","74.7","-2.6","222","0.0"
"","Delhi","6323","0","129.2","99.9","-0.2","348","0.0"
"","UP","21176","0","434.0","218.1","2.6","892","7.2"
"","Uttarakhand","1982","0","43.9","16.3","0.6","261","0.0"
"","HP","1412","0","30.7","-3.0","3.0","232","0.0"
"","J&K","2087","522","41.2","18.7","-0.6","145","9.8"
"","Chandigarh","331","0","6.5","7.1","-0.6","50","0.0"
"WR","Chhattisgarh","3727","0","89.7","30.9","0.1","305","0.0"
"","Gujarat","13228","0","297.9","85.1","5.1","563","0.0"
"","MP","8430","0","185.2","82.8","-3.3","382","0.0"
"","Maharashtra","18190","0","395.5","127.6","-0.4","533","0.0"
"","Goa","541","0","8.8","8.6","-0.3","43","0.0"
"","DD","325","0","6.4","6.2","0.2","32","0.0"
"","DNH","790","0","18.3","18.4","-0.1","40","0.0"
"","Essar steel","344","0","5.9","5.5","0.4","301","0.0"
"SR","Andhra Pradesh","7005","0","153.6","26.1","-0.1","699","0.0"
"","Telangana","8303","0","168.5","66.5","-0.2","752","0.0"
"","Karnataka","9540","0","174.9","15.1","-5.6","570","0.0"
"","Kerala","3345","0","65.9","46.5","1.4","191","0.0"
"","Tamil Nadu","13287","0","286.3","114.6","-0.4","534","0.0"
"","Pondy","387","0","7.1","7.8","-0.6","40","0.0"
"ER","Bihar","5972","0","117.0","114.1","-1.3","208","0.0"
"","DVC","2912","0","62.8","-31.3","-0.7","195","0.0"
"","Jharkhand","1286","0","25.4","17.2","-1.1","110","0.0"
"","Odisha","4439","0","91.1","22.7","6.9","620","0.0"
"","West Bengal","8331","0","178.4","78.4","2.3","590","0.0"
"","Sikkim","85","0","0.9","1.2","-0.4","20","0.0"
"NER","Arunachal Pradesh","128","2","2.4","2.5","-0.2","28","0.0"
"","Assam","1894","92","36.1","30.4","1.1","153","1.2"
"","Manipur","170","2","2.5","2.4","0.1","16","0.0"
"","Meghalaya","298","0","4.9","2.7","-0.1","162","0.0"
"","Mizoram","96","1","1.7","0.6","0.1","70","0.0"
"","Nagaland","129","3","2.4","2.4","-0.3","51","0.0"
"","Tripura","280","18","5.0","4.9","0.2","133","0.0"
