"Region","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","5202","0","100.3","41.6","-1.7","59","0.0"
"","Haryana","5671","0","114.2","94.8","0.3","146","0.0"
"","Rajasthan","11863","0","214.5","55.7","-2.9","243","0.0"
"","Delhi","3374","0","63.5","52.5","-0.6","137","0.0"
"","UP","14101","0","258.2","110.9","-2.8","798","0.0"
"","Uttarakhand","1735","0","34.1","22.6","-0.2","127","0.0"
"","HP","1566","0","28.4","20.3","0.1","129","0.0"
"","J&K","2186","547","44.2","37.5","-0.9","201","10.4"
"","Chandigarh","195","0","3.4","3.3","0.1","23","0.0"
"WR","Chhattisgarh","3444","0","72.8","16.7","-0.1","260","0.0"
"","Gujarat","15992","0","339.2","83.3","-2.2","469","0.0"
"","MP","13114","0","250.9","149.9","-2.7","419","0.0"
"","Maharashtra","21075","0","442.3","133.2","-2.4","518","0.0"
"","Goa","541","0","12.3","12.4","-0.7","23","0.0"
"","DD","324","0","7.3","6.7","0.6","44","0.0"
"","DNH","788","0","18.5","18.6","-0.1","42","0.0"
"","Essar steel","342","0","6.5","6.3","0.2","295","0.0"
"SR","Andhra Pradesh","8257","0","169.5","74.5","-0.3","566","0.0"
"","Telangana","8590","0","180.8","74.7","0.7","383","0.0"
"","Karnataka","10081","0","182.1","33.5","0.8","473","0.0"
"","Kerala","3643","0","73.0","52.7","1.8","213","0.0"
"","Tamil Nadu","13256","0","280.8","167.7","2.0","824","0.0"
"","Pondy","354","0","7.0","7.4","-0.4","33","0.0"
"ER","Bihar","4029","0","68.3","69.0","-1.6","250","0.0"
"","DVC","3114","0","59.8","-28.9","-0.9","300","0.0"
"","Jharkhand","1247","0","24.7","17.8","-0.9","31","0.0"
"","Odisha","3797","0","74.4","7.8","-0.4","200","0.0"
"","West Bengal","6470","0","110.8","30.0","1.5","300","0.0"
"","Sikkim","97","0","1.6","1.6","0.0","20","0.0"
"NER","Arunachal Pradesh","119","3","2.1","1.9","0.0","36","0.0"
"","Assam","1389","27","22.7","17.5","0.3","147","0.6"
"","Manipur","159","1","2.4","2.6","-0.1","25","0.0"
"","Meghalaya","324","0","5.7","2.7","0.2","48","0.0"
"","Mizoram","104","3","1.7","0.5","0.9","22","0.0"
"","Nagaland","118","2","2.1","2.0","-0.1","23","0.0"
"","Tripura","257","9","3.4","1.7","0.0","85","0.0"
