"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","4962","0","95.6","42.2","0.8","138"
"","Haryana","5143","58","108.0","70.9","0.2","188"
"","Rajasthan","8435","0","182.9","69.7","-0.2","201"
"","Delhi","2995","190","57.7","42.6","-0.2","258"
"","UP","10403","1420","232.1","92.7","-2.2","301"
"","Uttarakhand","1541","150","30.4","17.9","2.3","232"
"","HP","1335","0","24.4","14.9","-0.3","70"
"","J&K","1563","100","31.6","25.7","-3.5","138"
"","Chandigarh","176","0","3.3","3.5","-0.2","5"
"WR","Chhattisgarh","3167","67","74.7","18.1","3.0","280"
"","Gujarat","11756","56","259.7","57.8","-1.3","312"
"","MP","6774","37","142.6","61.6","-1.8","209"
"","Maharashtra","18251","212","391.5","115.4","4.3","342"
"","Goa","400","47","8.9","7.0","1.1","52"
"","DD","260","1","6.2","5.7","0.5","27"
"","DNH","599","3","13.8","13.7","0.0","34"
"","Essar steel","543","3","11.5","11.8","-0.3","102"
"SR","Andhra Pradesh","12525","1200","277.4","93.7","5.7","461"
"","Karnataka","8192","1100","186.6","20.5","3.8","317"
"","Kerala","3350","0","66.2","29.9","1.8","293"
"","Tamil Nadu","11488","2465","256.5","86.7","0.2","619"
"","Pondy","316","0","6.6","6.2","0.4","115"
"ER","Bihar","1941","100","41.9","38.5","-0.5","198"
"","DVC","2574","100","57.9","-20.1","-1.0","285"
"","Jharkhand","863","58","18.0","13.1","0.7","195"
"","Odisha","3675","0","70.7","10.6","-1.0","345"
"","West Bengal","6947","0","131.8","43.4","-0.2","385"
"","Sikkim","75","0","1.3","1.3","0.0","32"
"NER","Arunachal Pradesh","112","3","1.5","1.3","0.2","40"
"","Assam","1015","136","17.1","12.2","-0.4","82"
"","Manipur","98","22","1.5","1.5","0.0","24"
"","Meghalaya","250","16","3.8","3.2","0.0","66"
"","Mizoram","70","5","1.0","1.0","-0.2","20"
"","Nagaland","94","3","1.4","1.5","-0.4","15"
"","Tripura","212","2","2.6","0.3","0.1","56"
