"","NR","WR","SR","ER","NER"
"Schedule(MU)","108.8","-94.0","49.9","-70.0","-1.0"
"Actual(MU)","97.4","-90.1","57.3","-63.9","-0.1"
"O/D/U/D(MU)","-11.4","3.8","7.4","6.1","0.9"
