"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","9004","0","194.7","110.9","-0.9","110"
"","Haryana","7304","0","155.8","112.8","-3.2","265"
"","Rajasthan","8668","0","182.8","48.0","-2.1","239"
"","Delhi","4558","12","99.2","73.2","-5.3","37"
"","UP","11887","2040","266.1","119.9","0.6","454"
"","Uttarakhand","1724","35","37.0","12.1","1.2","241"
"","HP","1157","0","24.5","-1.4","0.1","88"
"","J&K","1703","100","27.4","16.5","-1.1","251"
"","Chandigarh","290","0","5.7","5.3","0.4","37"
"WR","Chhattisgarh","3037","442","72.5","21.4","3.9","393"
"","Gujarat","13246","99","290.5","39.6","-1.2","455"
"","MP","6788","230","149.9","79.6","1.8","323"
"","Maharashtra","18610","238","396.3","117.0","-0.6","488"
"","Goa","415","48","8.8","7.5","1.0","109"
"","DD","280","2","6.0","6.0","0.0","44"
"","DNH","669","5","15.2","14.8","0.4","37"
"","Essar steel","397","3","8.7","9.0","-0.3","11"
"SR","Andhra Pradesh","5622","700","130.4","25.9","0.1","432"
"","Telangana","5405","500","125.6","66.3","5.2","492"
"","Karnataka","8099","750","177.0","26.3","2.0","373"
"","Kerala","3172","150","61.0","28.2","2.3","245"
"","Tamil Nadu","13247","0","284.2","83.9","0.1","411"
"","Pondy","318","0","6.7","6.7","0.0","70"
"ER","Bihar","2219","100","44.4","44.1","-0.3","275"
"","DVC","2404","0","53.4","-18.9","-1.7","425"
"","Jharkhand","977","0","18.6","10.5","-0.1","75"
"","Odisha","3516","0","68.4","26.9","2.7","535"
"","West Bengal","6823","0","131.1","36.8","3.1","475"
"","Sikkim","85","0","1.3","1.2","0.1","30"
"NER","Arunachal Pradesh","95","13","1.6","1.8","-0.2","11"
"","Assam","1041","309","24.3","15.0","4.0","222"
"","Manipur","75","53","1.5","1.9","-0.4","28"
"","Meghalaya","249","2","4.0","1.1","-0.6","63"
"","Mizoram","64","8","1.1","1.2","-0.3","9"
"","Nagaland","103","3","1.6","1.9","-0.5","28"
"","Tripura","185","40","3.0","1.2","-0.5","44"
