"","NR","WR","SR","ER","NER"
"Schedule(MU)","136.4","-114.9","48.5","-75.3","8.2"
"Actual(MU)","141.0","-121.1","47.8","-79.5","10.3"
"O/D/U/D(MU)","4.6","-6.3","-0.7","-4.2","2.1"
