"Region","<49.2","49.2-49.5","49.5-49.7","49.7-49.8","<49.7","49.7-50.2","> 50.2"
"NEW GRID","0.0","0.0","0.1","0.8","0.1","88.4","11.5"
"SR GRID","0.0","0.0","1.5","4.0","1.5","77.7","20.8"
