"","NR","WR","SR","ER","NER","Total"
"Demand Met during Evening Peak hrs(MW)","43422","42933","34485","18063","2299","141202"
"Peak Shortage (MW)","497","45","0","300","161","1003"
"Energy Met (MU)","1049","1028","767","388","44","3276"
"Hydro Gen(MU)","303","13","34","47","17","415"
"Wind Gen(MU)","24","73","52","----------","----------","148"
