"","NR","WR","SR","ER","NER"
"Schedule(MU)","140.6","-107.1","41.6","-77.9","2.4"
"Actual(MU)","115.5","-98.6","43.2","-62.1","4.2"
"O/D/U/D(MU)","-25.1","8.5","1.6","15.8","1.8"
