"","NR","WR","SR","ER","NER","TOTAL"
"Schedule(MU)","198.9","-216.0","101.5","-87.6","3.1","-0.1"
"Actual(MU)","200.9","-228.3","97.3","-76.9","4.7","-2.3"
"O/D/U/D(MU)","2.0","-12.3","-4.2","10.7","1.6","-2.2"
