"","NR","WR","SR","ER","NER","Total"
"Demand Met during Evening Peak hrs(MW)","39608","44928","38098","17107","2288","142029"
"Peak Shortage (MW)","719","82","0","200","70","1071"
"Energy Met (MU)","895","1091","930","348","40","3303"
"Hydro Gen(MU)","121","51","51","29","6","258"
"Wind Gen(MU)","11","32","49","----------","----------","92"
"Solar Gen (MU)*","3.33","11.82","18.20","0.05","0.03","33"
