"","NR","WR","SR","ER","NER"
"Schedule(MU)","67.8","-51.4","34.7","-47.6","5.2"
"Actual(MU)","57.4","-49.5","34.8","-50.3","9.6"
"O/D/U/D(MU)","-10.4","1.9","0.1","-2.7","4.4"
