"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","6949","0","150.9","115.1","0.7","275"
"","Haryana","5724","0","121.4","69.7","0.1","215"
"","Rajasthan","5380","0","117.4","53.8","-4.8","80"
"","Delhi","3811","0","80.6","62.6","-0.8","336"
"","UP","9984","2270","225.6","118.2","-1.4","253"
"","Uttarakhand","1405","140","31.8","13.4","0.1","258"
"","HP","1103","0","23.0","0.5","-0.5","27"
"","J&K","1512","100","28.2","13.9","0.5","245"
"","Chandigarh","270","0","5.1","5.3","-0.3","24"
"WR","Chhattisgarh","2624","12","54.2","15.4","0.5","564"
"","Gujarat","7980","40","178.1","32.4","3.2","669"
"","MP","5010","12","104.2","33.1","-2.9","505"
"","Maharashtra","14684","271","313.7","91.4","4.2","574"
"","Goa","345","1","7.4","5.6","1.4","155"
"","DD","238","0","5.2","5.1","0.1","38"
"","DNH","610","1","14.6","13.5","1.1","77"
"","Essar steel","367","1","8.4","5.9","2.5","51"
"SR","Andhra Pradesh","10398","0","237.9","66.2","0.0","530"
"","Karnataka","7267","250","148.6","17.6","-2.9","241"
"","Kerala","3008","150","55.5","19.7","1.1","273"
"","Tamil Nadu","11015","200","243.5","68.2","2.0","337"
"","Pondy","303","0","6.1","6.2","-0.1","34"
"ER","Bihar","2156","200","42.0","42.7","-0.8","200"
"","DVC","2751","0","56.4","-19.6","-0.4","400"
"","Jharkhand","838","0","17.3","13.8","-3.2","50"
"","Odisha","3531","200","65.5","16.7","-1.3","380"
"","West Bengal","6084","15","106.4","44.5","-0.2","450"
"","Sikkim","80","0","0.9","1.2","-0.2","0"
"NER","Arunachal Pradesh","90","5","1.4","1.5","-0.1","45"
"","Assam","1155","159","23.9","14.3","4.6","297"
"","Manipur","109","1","1.8","1.9","-0.1","26"
"","Meghalaya","240","7","4.1","-0.1","-0.1","107"
"","Mizoram","56","2","1.0","1.0","-0.1","7"
"","Nagaland","85","5","1.6","1.1","0.1","30"
"","Tripura","172","40","3.2","1.0","0.3","58"
