"","NR","WR","SR","ER","NER","TOTAL"
"Schedule(MU)","224.2","-213.0","71.5","-84.6","1.8","-0.2"
"Actual(MU)","222.4","-221.1","72.5","-82.6","3.6","-5.2"
"O/D/U/D(MU)","-1.8","-8.0","1.0","2.0","1.9","-5.0"
