"Region","<49.2","49.2-49.5","49.5-49.7","49.7-49.8","<49.7","49.7-50.2","> 50.2"
"NEW GRID","0.0","0.0","2.0","2.4","2.0","86.0","12.0"
"SR GRID","0.0","0.0","2.0","2.4","2.0","86.0","12.0"
