"","NR","WR","SR","ER","NER","All India"
"Coal","486","1230","609","482","9","2817"
"Lignite","28","18","58","0","0","104"
"Hydro","143","27","71","33","3","276"
"Nuclear","28","31","31","0","0","90"
"Gas, Naptha & Diesel","26","43","15","0","30","114"
"RES (Wind, Solar, Biomass & Others)","67","74","159","1","0","301"
"Total","777","1423","944","516","42","3702"
