"","NR","WR","SR","ER","NER"
"Schedule(MU)","110.3","-70.5","37.8","-85.2","7.6"
"Actual(MU)","113.0","-82.9","40.7","-81.3","9.3"
"O/D/U/D(MU)","2.7","-12.4","2.9","3.9","1.7"
