"","NR","WR","SR","ER","NER","TOTAL"
"Schedule(MU)","183.9","-191.1","93.2","-86.0","0.2","0.3"
"Actual(MU)","182.5","-190.4","87.9","-81.0","-1.6","-2.6"
"O/D/U/D(MU)","-1.4","0.7","-5.3","4.9","-1.8","-2.9"
