"","NR","WR","SR","ER","NER","Total"
"Demand Met during Evening Peak hrs(MW)","37523","43079","30388","15943","2214","129147"
"Peak Shortage (MW)","1493","171","750","380","37","2831"
"Energy Met (MU)","811","978","721","326","36","2871"
"Hydro Gen(MU)","119","23","37","20","9","208"
"Wind Gen(MU)","3","26","15","----------","----------","44"
