"","NR","WR","SR","ER","NER","TOTAL"
"Schedule(MU)","140.5","-151.4","62.7","-61.3","6.5","-3.0"
"Actual(MU)","139.0","-169.1","69.9","-57.1","13.9","-3.4"
"O/D/U/D(MU)","-1.5","-17.7","7.2","4.2","7.4","-0.4"
