"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","9231","0","205.5","113.8","0.3","189"
"","Haryana","8109","0","167.8","109.4","-0.7","300"
"","Rajasthan","7250","0","154.4","47.3","2.2","358"
"","Delhi","4941","3","103.5","75.5","0.5","284"
"","UP","11211","3325","269.1","126.2","3.5","530"
"","Uttarakhand","1621","70","34.3","18.3","1.2","211"
"","HP","1207","0","25.5","-0.7","-0.2","25"
"","J&K","1541","100","29.2","16.5","-2.1","255"
"","Chandigarh","309","0","6.0","5.5","0.5","54"
"WR","Chhattisgarh","2823","130","60","15","-3","127"
"","Gujarat","9279","71","206","34","-2","360"
"","MP","6380","0","131","80","0","414"
"","Maharashtra","15406","55","329","72","-1","513"
"","Goa","384","0","8","6","1","53"
"","DD","249","0","6","5","0","90"
"","DNH","616","0","14","14","0","20"
"","Essar steel","493","0","11.0","11.3","-0.3","11"
"SR","Andhra Pradesh","5786","0","130.5","32.9","1.5","352"
"","Telangana","5472","800","118.5","65.3","2.2","529"
"","Karnataka","7918","300","157.1","19.0","0.3","449"
"","Kerala","3052","150","56.8","25.0","2.3","299"
"","Tamil Nadu","12673","0","278.0","72.9","0.5","335"
"","Pondy","302","30","6.5","6.4","0.1","37"
"ER","Bihar","2531","250","51.0","48.2","0.3","320"
"","DVC","2621","0","60.4","-15.1","-0.4","160"
"","Jharkhand","926","0","19.6","14.6","-0.9","0"
"","Odisha","3798","200","72.8","26.7","0.9","240"
"","West Bengal","7227","17","145.1","43.0","1.4","230"
"","Sikkim","76","0","1.1","1.2","-0.1","18"
"NER","Arunachal Pradesh","116","2","1.7","1.8","-0.2","25"
"","Assam","1177","201","24.4","17.1","2.4","193"
"","Manipur","125","5","1.6","2.3","-0.7","47"
"","Meghalaya","270","15","4.3","1.5","-0.2","29"
"","Mizoram","65","5","1.0","1.3","-0.5","23"
"","Nagaland","101","6","1.6","1.7","-0.4","30"
"","Tripura","212","2","2.5","1.7","-0.7","44"
