"","NR","WR","SR","ER","NER"
"Schedule(MU)","87.9","-86.0","39.5","-50.7","8.5"
"Actual(MU)","96.7","-107.2","44.7","-44.9","11.9"
"O/D/U/D(MU)","8.8","-21.2","5.2","5.8","3.4"
