"Region","<49.2","49.2-49.5","49.5-49.7","49.7-49.8","<49.7","49.7-50.2","> 50.2"
"NEW GRID","0.0","0.0","0.4","6.5","0.4","94.3","5.3"
"SR GRID","0.0","0.0","0.1","3.2","0.1","89.0","10.9"
