"","NR","WR","SR","ER","NER","All India"
"Thermal (Coal & Lignite)","592","1000","380","402","8","2381"
"Hydro","314","18","76","95","26","528"
"Nuclear","27","30","45","0","0","102"
"Gas, Naptha & Diesel","24","39","23","0","25","110"
"RES (Wind, Solar, Biomass & Others)","30","124","296","1","0","451"
"Total","986","1210","821","497","58","3573"
