"","NR","WR","SR","ER","NER"
"Schedule(MU)","107.3","-71.8","33.8","-77.6","7.2"
"Actual(MU)","71.1","-58.2","38.1","-57.8","8.8"
"O/D/U/D(MU)","-36.2","13.6","4.3","19.7","1.6"
