"Share of RES in total generation (%)","10.74","16.24","29.75","0.45","0.03","15.38"
"Share of Non-fossil fuel (Hydro, Nuclear and RES) in total generation (%)","48.18","19.35","40.98","21.71","46.45","32.66"
