"","NR","WR","SR","ER","NER","All India"
"Coal","266","731","362","360","7","1727"
"Lignite","17","12","48","0","0","78"
"Hydro","165","36","82","50","6","339"
"Nuclear","24","36","62","0","0","122"
"Gas, Naptha & Diesel","27","69","19","0","22","136"
"RES (Wind, Solar, Biomass & Others)","92","80","140","5","0","316"
"Total","592","964","713","415","34","2717"
