"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","4834","0","90.1","23.9","-0.6","131","0.0"
"","Haryana","5542","0","105.1","66.9","1.3","236","0.0"
"","Rajasthan","10469","0","207.4","61.3","0.1","201","0.0"
"","Delhi","3326","0","63.1","48.5","-0.8","239","0.0"
"","UP","12360","710","276.3","107.6","-0.3","137","1.4"
"","Uttarakhand","1802","0","33.9","16.2","0.7","153","0.0"
"","HP","1401","0","24.6","17.8","0.2","112","0.0"
"","J&K","1974","493","40.0","35.2","0.0","233","9.4"
"","Chandigarh","173","0","3.2","3.5","-0.3","10","0.0"
"WR","Chhattisgarh","3161","0","66.5","13.2","-1.7","179","0.0"
"","Gujarat","14456","0","314.8","85.6","-4.4","478","0.0"
"","MP","11590","0","237.1","168.4","0.6","435","0.0"
"","Maharashtra","20789","26","429.6","142.2","1.5","399","0.3"
"","Goa","423","0","8.9","8.7","0.2","43","0.0"
"","DD","314","0","7.1","6.5","0.6","80","0.0"
"","DNH","748","0","17.0","17.1","-0.1","45","0.0"
"","Essar steel","524","0","10.5","11.3","-0.8","105","0.0"
"SR","Andhra Pradesh","7682","0","163.5","65.0","1.3","381","0.0"
"","Telangana","7421","0","158.7","61.8","-1.0","432","0.0"
"","Karnataka","9449","0","202.5","85.3","2.8","429","0.0"
"","Kerala","3472","0","66.4","47.8","1.6","202","0.0"
"","Tamil Nadu","13601","0","283.4","142.2","4.8","409","0.0"
"","Pondy","316","0","6.6","7.2","-0.6","18","0.0"
"ER","Bihar","3598","200","64.0","54.3","4.1","345","0.9"
"","DVC","2719","0","60.1","-24.3","2.9","398","0.5"
"","Jharkhand","1100","64","21.9","11.2","0.4","135","0.2"
"","Odisha","3532","0","65.9","28.6","4.2","365","0.6"
"","West Bengal","6798","0","112.5","30.1","2.6","402","0.0"
"","Sikkim","110","0","1.5","1.3","0.1","20","0.0"
"NER","Arunachal Pradesh","134","8","2.2","2.0","0.2","43","0.0"
"","Assam","1457","32","23.8","18.8","1.5","268","0.3"
"","Manipur","167","5","2.3","2.5","-0.2","35","0.1"
"","Meghalaya","302","0","5.1","2.7","-0.1","40","0.0"
"","Mizoram","81","5","1.5","1.1","0.4","45","0.0"
"","Nagaland","119","6","2.0","1.6","0.0","28","0.0"
"","Tripura","208","9","3.6","2.3","-0.2","57","0.1"
